id_venda,data,loja,vendedor,produto,categoria,qtd,preco_unit,desconto,forma_pgto
27,2025-05-27,centro ,Diego,Meia,Acessórios,2,19.9,0.0,Pix
28,2025-05-31,Bairro,Bruno,Tênis,Calçados,4,249.9,0.0,Cartão
29,2025-01-02,Centro,Diego,Camiseta,Roupas,3,59.9,0.05,Dinheiro
30,2025-05-27,centro ,Carla,Camiseta,Roupas,1,59.9,0.0,Dinheiro
31,2025-04-14,centro ,Carla,Camiseta,Roupas,1,59.9,0.0,Dinheiro
32,2025-12-04,Shopping,Carla,Camiseta,Roupas,1,59.9,0.0,Pix
33,2025-10-04,centro ,Diego,Meia,Acessórios,3,19.9,0.0,Pix
34,2025-01-22,Shopping,Eduardo,Camiseta,Roupas,3,59.9,0.05,Dinheiro
35,2025-04-07,centro ,Ana,Calça,Roupas,5,129.9,0.0,Dinheiro
36,2025-02-18,centro ,Ana,,Acessórios,5,19.9,0.0,Cartão
37,2025-08-21,Centro,Eduardo,Boné,Acessórios,5,49.9,0.15,Dinheiro
38,2025-04-26,Bairro,Eduardo,Tênis,Calçados,1,249.9,0.2,Dinheiro
39,2025-08-11,Shopping,Bruno,Calça,Roupas,2,129.9,0.05,Dinheiro
40,2025-09-30,centro ,Ana,Calça,Roupas,5,129.9,0.0,Cartão
41,2025-01-13,centro ,Bruno,Calça,Roupas,4,129.9,0.1,Pix
42,2025-05-22,centro ,Carla,Meia,Acessórios,4,19.9,0.05,Cartão
43,2025-12-08,Bairro,Ana,Calça,Roupas,5,129.9,0.0,Cartão
44,2025-11-01,centro ,Bruno,Calça,Roupas,3,129.9,0.15,Pix
45,2025-03-01,centro ,Diego,Camiseta,Roupas,4,59.9,0.1,Cartão
46,2025-12-16,Bairro,Carla,Boné,Acessórios,4,49.9,0.0,Pix
47,2025-06-07,Bairro,Ana,Calça,Roupas,3,129.9,0.05,Cartão
48,2025-04-27,Shopping,Ana,Calça,Roupas,1,129.9,0.0,Cartão
49,2025-10-17,centro ,Ana,Calça,Roupas,5,129.9,0.0,Pix
50,2025-03-10,Shopping,Eduardo,Boné,Acessórios,4,49.9,0.1,Cartão
51,2025-07-04,Centro,Diego,Tênis,Calçados,1,249.9,0.1,Cartão
52,2025-08-06,Shopping,Eduardo,Meia,Acessórios,1,19.9,0.0,Cartão
53,2025-01-10,Shopping,Eduardo,Boné,Acessórios,4,49.9,0.0,Dinheiro
54,2025-04-06,Centro,Eduardo,Calça,Roupas,2,129.9,0.05,Pix
55,2025-12-06,centro ,Diego,Meia,Acessórios,4,19.9,0.05,Pix
56,2025-04-11,centro ,Carla,Camiseta,Roupas,2,59.9,0.1,Dinheiro
57,2025-01-12,Bairro,Bruno,Meia,Acessórios,2,19.9,0.0,Dinheiro
58,2025-04-03,Shopping,Bruno,Camiseta,Roupas,2,59.9,0.05,Dinheiro
59,2025-11-10,Centro,Bruno,Camiseta,Roupas,5,59.9,0.0,Pix
60,2025-06-13,Shopping,Eduardo,Boné,Acessórios,3,49.9,0.2,Pix
61,2025-04-06,centro ,Eduardo,Tênis,Calçados,5,249.9,0.0,Dinheiro
62,2025-10-13,Centro,Ana,Camiseta,Roupas,1,59.9,0.0,Cartão
63,2025-06-26,centro ,Diego,Boné,Acessórios,3,49.9,0.15,Pix
64,2025-02-21,Bairro,Bruno,Meia,Acessórios,5,19.9,0.2,Pix
65,2025-02-22,Bairro,Ana,Tênis,Calçados,5,249.9,0.05,Cartão
66,2025-08-11,Shopping,Eduardo,Calça,Roupas,5,129.9,0.0,Dinheiro
67,2025-03-17,Centro,Bruno,Tênis,Calçados,1,249.9,0.0,Pix
68,2025-10-10,Shopping,Bruno,Boné,Acessórios,5,49.9,0.0,Cartão
69,2025-12-31,Centro,Diego,Tênis,Calçados,1,249.9,0.05,Pix
70,2025-09-09,Bairro,Carla,Meia,Acessórios,3,19.9,0.0,Cartão
71,2025-05-06,Bairro,Eduardo,Calça,Roupas,4,129.9,0.0,Cartão
72,2025-11-13,Bairro,Ana,Calça,Roupas,3,129.9,0.1,Pix
73,2025-07-10,centro ,Ana,Meia,Acessórios,1,19.9,0.2,Cartão
74,2025-02-13,Centro,Eduardo,Boné,Acessórios,5,49.9,0.2,Cartão
75,2025-08-17,centro ,Carla,Boné,Acessórios,1,49.9,0.2,Cartão
76,2025-05-23,Bairro,Ana,Camiseta,Roupas,3,59.9,0.0,Dinheiro
77,2025-11-26,centro ,Diego,Camiseta,Roupas,5,59.9,0.15,Cartão
78,2025-05-16,Shopping,Diego,Meia,Acessórios,4,19.9,0.05,Pix
79,2025-05-25,Centro,Ana,Camiseta,Roupas,5,59.9,0.0,Pix
80,2025-09-10,Shopping,Bruno,Boné,Acessórios,5,49.9,0.15,Dinheiro
81,2025-11-08,Shopping,Bruno,Camiseta,Roupas,5,59.9,0.0,Dinheiro
82,2025-05-26,centro ,Ana,Camiseta,Roupas,2,59.9,0.1,Dinheiro
83,2025-10-10,Centro,Eduardo,Camiseta,Roupas,1,59.9,0.2,Dinheiro
84,2025-11-07,Shopping,Diego,Camiseta,Roupas,5,59.9,0.0,Cartão
85,2025-02-22,Centro,Bruno,Tênis,Calçados,1,249.9,0.05,Pix
86,2025-02-20,Centro,Eduardo,Camiseta,Roupas,1,59.9,0.0,Pix
87,2025-03-13,Bairro,Bruno,Calça,Roupas,3,129.9,0.0,Dinheiro
88,2025-02-23,centro ,Eduardo,Calça,Roupas,3,129.9,0.15,Pix
89,2025-10-30,Bairro,Eduardo,Camiseta,Roupas,2,59.9,0.0,Dinheiro
90,2025-07-11,centro ,Bruno,Tênis,Calçados,2,249.9,0.15,Cartão
91,2025-11-04,Centro,Ana,Tênis,Calçados,4,249.9,0.0,Cartão
92,2025-05-13,Centro,Diego,Calça,Roupas,1,129.9,0.15,Cartão
93,2025-03-10,Shopping,Eduardo,Camiseta,Roupas,3,59.9,0.0,Dinheiro
94,2025-09-06,Bairro,Carla,Tênis,Calçados,4,249.9,0.0,Pix
95,2025-06-04,Centro,Bruno,Tênis,Calçados,3,249.9,0.15,Dinheiro
96,2025-04-02,Shopping,Eduardo,Boné,Acessórios,1,49.9,0.0,Pix
97,2025-02-15,Shopping,Ana,Camiseta,Roupas,5,59.9,0.0,Dinheiro
98,2025-02-16,Centro,Carla,Camiseta,Roupas,5,59.9,0.0,Pix
99,2025-01-08,Centro,Carla,Calça,Roupas,2,129.9,0.15,Dinheiro
100,2025-01-14,Bairro,Carla,Calça,Roupas,3,129.9,0.1,Dinheiro
101,2025-10-21,Bairro,Carla,Meia,Acessórios,1,19.9,0.0,Dinheiro
102,2025-02-08,Centro,Ana,Boné,Acessórios,2,49.9,0.0,Cartão
103,2025-01-13,centro ,Ana,Meia,Acessórios,3,19.9,0.0,Pix
104,2025-08-16,Bairro,Bruno,Boné,Acessórios,1,49.9,0.0,Dinheiro
105,2025-01-06,centro ,Bruno,Calça,Roupas,3,129.9,0.0,Dinheiro
106,2025-10-16,Centro,Eduardo,Boné,Acessórios,4,49.9,0.0,Cartão
107,2025-12-16,Bairro,Ana,Tênis,Calçados,3,249.9,0.0,Dinheiro
108,2025-08-11,Shopping,Bruno,Boné,Acessórios,3,49.9,0.2,Dinheiro
109,2025-03-03,Centro,Bruno,Camiseta,Roupas,2,59.9,0.0,Dinheiro
110,2025-11-22,Shopping,Diego,Boné,Acessórios,1,49.9,0.1,Pix
111,2025-03-31,Shopping,Eduardo,Meia,Acessórios,4,19.9,0.0,Pix
112,2025-06-27,centro ,Bruno,Tênis,Calçados,2,249.9,0.05,Cartão
113,2025-03-25,Centro,Eduardo,Boné,Acessórios,1,49.9,0.05,Dinheiro
114,2025-11-01,Centro,Diego,Tênis,Calçados,5,249.9,0.0,Dinheiro
115,2025-02-04,Centro,Diego,Camiseta,Roupas,3,59.9,0.0,Pix
116,2025-10-13,Bairro,Eduardo,Boné,Acessórios,3,49.9,0.0,Dinheiro
117,2025-03-30,Centro,Bruno,Calça,Roupas,3,129.9,0.15,Pix
118,2025-05-23,Centro,Ana,Camiseta,Roupas,2,59.9,0.1,Cartão
119,2025-02-08,Bairro,Carla,Boné,Acessórios,2,49.9,0.15,Dinheiro
120,2025-08-19,Bairro,Diego,,Acessórios,1,49.9,0.0,Pix
121,2025-10-16,Shopping,Diego,Boné,Acessórios,2,49.9,0.0,Pix
122,2025-04-28,Shopping,Eduardo,Tênis,Calçados,4,249.9,0.1,Pix
123,2025-06-06,centro ,Eduardo,Meia,Acessórios,4,19.9,0.0,Pix
124,2025-04-25,Bairro,Diego,Calça,Roupas,3,129.9,0.0,Dinheiro
125,2025-09-11,Shopping,Bruno,Boné,Acessórios,4,49.9,0.1,Cartão
126,2025-07-29,Centro,Ana,Boné,Acessórios,4,49.9,0.0,Dinheiro
127,2025-11-20,Centro,Eduardo,Meia,Acessórios,2,19.9,0.0,Pix
128,2025-02-20,Centro,Ana,Meia,Acessórios,1,19.9,0.0,Cartão
129,2025-04-20,centro ,Ana,Boné,Acessórios,3,49.9,0.2,Dinheiro
130,2025-11-05,Centro,Bruno,Boné,Acessórios,5,49.9,0.0,Cartão
131,2025-09-01,Centro,Bruno,Camiseta,Roupas,2,59.9,0.0,Dinheiro
132,2025-12-13,Centro,Carla,Calça,Roupas,3,129.9,0.0,Dinheiro
133,2025-07-17,Centro,Ana,Camiseta,Roupas,3,59.9,0.0,Cartão
134,2025-02-18,Bairro,Ana,Calça,Roupas,1,129.9,0.0,Cartão
135,2025-12-26,Centro,Ana,Meia,Acessórios,3,19.9,0.05,Dinheiro
136,2025-06-07,Centro,Ana,Tênis,Calçados,3,249.9,0.0,Cartão
137,2025-06-24,Shopping,Bruno,Camiseta,Roupas,1,59.9,0.1,Cartão
138,2025-09-21,Centro,Carla,Tênis,Calçados,2,249.9,0.0,Dinheiro
139,2025-03-28,Bairro,Diego,Calça,Roupas,5,129.9,0.0,Pix
140,2025-09-12,Centro,Ana,Camiseta,Roupas,3,59.9,0.0,Dinheiro
141,2025-09-21,Shopping,Carla,Camiseta,Roupas,3,59.9,0.05,Pix
142,2025-11-07,centro ,Bruno,Boné,Acessórios,1,49.9,0.0,Dinheiro
143,2025-02-05,Centro,Diego,Boné,Acessórios,1,49.9,0.0,Dinheiro
144,2025-08-22,Bairro,Bruno,Boné,Acessórios,4,49.9,0.0,Pix
145,2025-08-10,Centro,Bruno,Boné,Acessórios,3,49.9,0.0,Cartão
146,2025-07-21,Shopping,Carla,Meia,Acessórios,1,19.9,0.0,Cartão
147,2025-01-09,centro ,Bruno,Tênis,Calçados,1,249.9,0.05,Cartão
148,2025-06-03,Shopping,Eduardo,Tênis,Calçados,5,249.9,0.0,Dinheiro
149,2025-02-11,centro ,Ana,Calça,Roupas,1,129.9,0.05,Pix
150,2025-03-17,Bairro,Eduardo,Camiseta,Roupas,5,59.9,0.0,Dinheiro
151,2025-08-07,centro ,Bruno,Camiseta,Roupas,1,59.9,0.0,Pix
152,2025-07-09,Shopping,Bruno,Calça,Roupas,3,129.9,0.15,Pix
153,2025-10-09,Centro,Eduardo,Tênis,Calçados,3,249.9,0.0,Pix
154,2025-08-15,Shopping,Bruno,Tênis,Calçados,5,249.9,0.0,Pix
155,2025-05-28,Bairro,Carla,Calça,Roupas,1,129.9,0.0,Cartão
156,2025-07-20,Shopping,Bruno,Tênis,Calçados,1,249.9,0.05,Pix
157,2025-04-14,Shopping,Ana,Camiseta,Roupas,3,59.9,0.0,Cartão
158,2025-04-12,Shopping,Diego,Boné,Acessórios,4,49.9,0.0,Dinheiro
159,2025-01-17,Shopping,Ana,Tênis,Calçados,4,249.9,0.2,Cartão
160,2025-05-29,Centro,Eduardo,Tênis,Calçados,1,249.9,0.1,Cartão
161,2025-02-28,Shopping,Ana,Camiseta,Roupas,2,59.9,0.05,Dinheiro
162,2025-03-27,Shopping,Eduardo,Camiseta,Roupas,3,59.9,0.0,Cartão
163,2025-03-23,Bairro,Diego,Tênis,Calçados,2,249.9,0.15,Dinheiro
164,2025-01-14,Bairro,Carla,Calça,Roupas,5,129.9,0.05,Cartão
165,2025-07-02,Bairro,Diego,Tênis,Calçados,1,249.9,0.05,Pix
166,2025-06-10,centro ,Eduardo,Camiseta,Roupas,2,59.9,0.1,Dinheiro
167,2025-09-08,Bairro,Eduardo,Tênis,Calçados,3,249.9,0.15,Dinheiro
168,2025-11-14,Centro,Diego,Meia,Acessórios,4,19.9,0.0,Dinheiro
169,2025-12-25,centro ,Eduardo,Camiseta,Roupas,1,59.9,0.1,Dinheiro
170,2025-06-07,Shopping,Diego,Boné,Acessórios,5,49.9,0.0,Pix
171,2025-03-14,Bairro,Ana,Camiseta,Roupas,4,59.9,0.15,Dinheiro
172,2025-07-17,Bairro,Carla,Calça,Roupas,2,129.9,0.1,Pix
173,2025-03-13,centro ,Eduardo,Meia,Acessórios,5,19.9,0.0,Dinheiro
174,2025-04-17,Shopping,Ana,Boné,Acessórios,1,49.9,0.0,Cartão
175,2025-01-05,Centro,Ana,Tênis,Calçados,4,249.9,0.1,Cartão
176,2025-06-27,Shopping,Ana,Camiseta,Roupas,3,59.9,0.0,Cartão
177,2025-03-30,Centro,Diego,Boné,Acessórios,2,49.9,0.0,Dinheiro
178,2025-05-03,centro ,Eduardo,Camiseta,Roupas,1,59.9,0.0,Cartão
179,2025-02-09,Centro,Eduardo,Meia,Acessórios,2,19.9,0.0,Dinheiro
180,2025-03-31,Shopping,Eduardo,Tênis,Calçados,5,249.9,0.1,Pix
181,2025-02-09,Centro,Eduardo,Boné,Acessórios,3,49.9,0.15,Cartão
182,2025-10-16,Shopping,Carla,Tênis,Calçados,4,249.9,0.15,Pix
183,2025-06-18,Centro,Carla,Tênis,Calçados,5,249.9,0.15,Cartão
184,2025-07-07,Bairro,Eduardo,Meia,Acessórios,2,19.9,0.05,Pix
185,2025-06-09,Bairro,Eduardo,Tênis,Calçados,2,249.9,0.15,Cartão
186,2025-10-22,Shopping,Eduardo,Boné,Acessórios,1,49.9,0.05,Pix
187,2025-12-20,centro ,Eduardo,Camiseta,Roupas,3,59.9,0.0,Cartão
188,2025-11-15,centro ,Diego,Calça,Roupas,5,129.9,0.0,Pix
189,2025-08-30,centro ,Carla,Meia,Acessórios,4,19.9,0.0,Cartão
190,2025-07-12,Shopping,Bruno,Camiseta,Roupas,2,59.9,0.05,Cartão
191,2025-09-08,Bairro,Diego,Boné,Acessórios,5,49.9,0.0,Dinheiro
192,2025-03-20,centro ,Carla,Camiseta,Roupas,2,59.9,0.0,Cartão
193,2025-04-09,Centro,Ana,Calça,Roupas,5,129.9,0.2,Pix
194,2025-05-10,Bairro,Diego,Tênis,Calçados,3,249.9,0.0,Dinheiro
195,2025-04-02,Centro,Eduardo,Camiseta,Roupas,5,59.9,0.2,Dinheiro
196,2025-09-14,Shopping,Diego,Meia,Acessórios,2,19.9,0.0,Pix
197,2025-10-08,centro ,Diego,Tênis,Calçados,4,249.9,0.0,Dinheiro
198,2025-05-25,Centro,Eduardo,Meia,Acessórios,3,19.9,0.0,Cartão
199,2025-12-15,centro ,Diego,Calça,Roupas,4,129.9,0.1,Cartão
200,2025-01-15,Centro,Ana,Tênis,Calçados,4,249.9,0.0,Pix
201,2025-08-02,Shopping,Eduardo,Camiseta,Roupas,3,59.9,0.0,Pix
202,2025-10-01,Shopping,Bruno,Camiseta,Roupas,3,59.9,0.0,Pix
203,2025-04-12,Centro,Carla,Camiseta,Roupas,1,59.9,0.15,Pix
204,2025-06-09,Bairro,Diego,Meia,Acessórios,2,19.9,0.2,Cartão
205,2025-08-13,Centro,Ana,Meia,Acessórios,1,19.9,0.0,Pix
206,2025-04-13,Shopping,Bruno,Meia,Acessórios,2,19.9,0.0,Dinheiro
207,2025-11-01,centro ,Carla,Calça,Roupas,3,129.9,0.0,Cartão
208,2025-12-25,Bairro,Ana,Camiseta,Roupas,2,59.9,0.15,Cartão
209,2025-09-08,Bairro,Carla,Meia,Acessórios,4,19.9,0.0,Cartão
210,2025-01-03,Bairro,Ana,Calça,Roupas,3,129.9,0.1,Cartão
211,2025-01-25,Centro,Carla,Meia,Acessórios,4,19.9,0.0,Pix
212,2025-07-02,centro ,Carla,Boné,Acessórios,2,49.9,0.1,Dinheiro
213,2025-12-27,Bairro,Carla,Boné,Acessórios,3,49.9,0.2,Dinheiro
214,2025-07-26,Centro,Diego,Boné,Acessórios,5,49.9,0.0,Dinheiro
215,2025-10-20,centro ,Diego,Calça,Roupas,4,129.9,0.1,Cartão
216,2025-04-15,centro ,Bruno,Camiseta,Roupas,4,59.9,0.05,Cartão
217,2025-10-22,Shopping,Carla,Calça,Roupas,5,129.9,0.1,Dinheiro
218,2025-01-21,Bairro,Ana,Boné,Acessórios,4,49.9,0.0,Cartão
219,2025-11-30,Shopping,Eduardo,Calça,Roupas,5,129.9,0.0,Pix
220,2025-01-14,centro ,Ana,Meia,Acessórios,1,19.9,0.0,Dinheiro
221,2025-03-07,Bairro,Eduardo,Camiseta,Roupas,1,59.9,0.2,Pix
222,2025-04-28,Shopping,Bruno,Tênis,Calçados,4,249.9,0.15,Cartão
223,2025-10-03,centro ,Carla,Camiseta,Roupas,1,59.9,0.0,Cartão
224,2025-04-17,Centro,Eduardo,Meia,Acessórios,1,19.9,0.0,Pix
225,2025-07-26,Shopping,Diego,Meia,Acessórios,4,19.9,0.0,Cartão
226,2025-10-20,centro ,Bruno,Calça,Roupas,3,129.9,0.0,Cartão
227,2025-11-21,Centro,Ana,Boné,Acessórios,4,49.9,0.15,Cartão
228,2025-08-04,Bairro,Carla,Meia,Acessórios,1,19.9,0.2,Cartão
229,2025-08-11,centro ,Carla,Boné,Acessórios,4,49.9,0.15,Cartão
230,2025-05-06,Centro,Diego,Meia,Acessórios,2,19.9,0.0,Dinheiro
231,2025-09-21,Centro,Eduardo,Calça,Roupas,2,129.9,0.0,Pix
232,2025-04-24,Shopping,Ana,Calça,Roupas,1,129.9,0.0,Dinheiro
233,2025-10-16,Centro,Carla,Camiseta,Roupas,5,59.9,0.05,Pix
234,2025-08-08,Shopping,Bruno,Camiseta,Roupas,1,59.9,0.0,Pix
235,2025-09-26,Centro,Eduardo,Camiseta,Roupas,1,59.9,0.2,Dinheiro
236,2025-04-12,Shopping,Diego,Meia,Acessórios,2,19.9,0.05,Cartão
237,2025-12-05,Centro,Carla,Boné,Acessórios,1,49.9,0.1,Pix
238,2025-07-18,Bairro,Eduardo,Camiseta,Roupas,5,59.9,0.0,Pix
239,2025-10-18,centro ,Bruno,Camiseta,Roupas,2,59.9,0.0,Cartão
240,2025-10-09,centro ,Bruno,Camiseta,Roupas,5,59.9,0.0,Pix
241,2025-05-13,Shopping,Eduardo,Calça,Roupas,4,129.9,0.0,Dinheiro
242,2025-11-22,Shopping,Bruno,Tênis,Calçados,3,249.9,0.1,Pix
243,2025-12-02,Bairro,Eduardo,Boné,Acessórios,1,49.9,0.0,Dinheiro
244,2025-10-04,Centro,Carla,Tênis,Calçados,5,249.9,0.0,Pix
245,2025-06-06,Bairro,Diego,Meia,Acessórios,2,19.9,0.05,Cartão
246,2025-03-18,centro ,Bruno,Calça,Roupas,3,129.9,0.0,Dinheiro
247,2025-06-08,Bairro,Ana,Meia,Acessórios,2,19.9,0.0,Cartão
248,2025-06-22,Shopping,Carla,Camiseta,Roupas,5,59.9,0.0,Cartão
249,2025-01-09,Bairro,Bruno,Meia,Acessórios,1,19.9,0.0,Pix
250,2025-07-27,Centro,Bruno,Calça,Roupas,4,129.9,0.15,Cartão
251,2025-06-16,Shopping,Ana,Tênis,Calçados,4,249.9,0.15,Cartão
252,2025-03-10,Bairro,Ana,Camiseta,Roupas,2,59.9,0.0,Pix
253,2025-10-20,Bairro,Carla,Boné,Acessórios,3,49.9,0.0,Cartão
254,2025-09-11,Centro,Bruno,Camiseta,Roupas,5,59.9,0.0,Cartão
255,2025-05-05,Bairro,Ana,Tênis,Calçados,4,249.9,0.0,Cartão
256,2025-04-12,Shopping,Eduardo,Tênis,Calçados,5,249.9,0.05,Pix
257,2025-05-16,Centro,Carla,Meia,Acessórios,4,19.9,0.0,Pix
258,2025-01-05,centro ,Carla,Camiseta,Roupas,2,59.9,0.1,Dinheiro
259,2025-09-16,Shopping,Bruno,,Acessórios,2,19.9,0.0,Cartão
260,2025-10-13,centro ,Diego,Camiseta,Roupas,5,59.9,0.2,Pix
261,2025-11-07,centro ,Bruno,Boné,Acessórios,1,49.9,0.05,Dinheiro
262,2025-05-16,centro ,Carla,Meia,Acessórios,5,19.9,0.0,Dinheiro
263,2025-04-28,Centro,Diego,Meia,Acessórios,4,19.9,0.2,Pix
264,2025-03-25,Shopping,Bruno,Camiseta,Roupas,1,59.9,0.05,Pix
265,2025-08-14,Centro,Diego,Meia,Acessórios,2,19.9,0.1,Pix
266,2025-09-15,Bairro,Ana,Calça,Roupas,3,129.9,0.0,Dinheiro
267,2025-06-03,centro ,Bruno,Meia,Acessórios,3,19.9,0.0,Cartão
268,2025-11-12,Centro,Diego,Tênis,Calçados,1,249.9,0.05,Cartão
269,2025-06-07,centro ,Bruno,Calça,Roupas,3,129.9,0.05,Dinheiro
270,2025-06-12,Shopping,Carla,Meia,Acessórios,2,19.9,0.1,Cartão
271,2025-09-23,Centro,Bruno,Meia,Acessórios,1,19.9,0.05,Dinheiro
272,2025-11-06,Shopping,Eduardo,Camiseta,Roupas,3,59.9,0.05,Pix
273,2025-01-25,Bairro,Diego,Camiseta,Roupas,4,59.9,0.05,Pix
274,2025-11-12,Bairro,Eduardo,Meia,Acessórios,2,19.9,0.0,Dinheiro
275,2025-01-05,Bairro,Bruno,Tênis,Calçados,2,249.9,0.0,Cartão
276,2025-02-25,Bairro,Ana,Tênis,Calçados,1,249.9,0.1,Dinheiro
277,2025-07-09,Shopping,Carla,Boné,Acessórios,4,49.9,0.0,Pix
278,2025-02-09,Centro,Eduardo,Meia,Acessórios,4,19.9,0.05,Pix
279,2025-08-19,Shopping,Eduardo,Meia,Acessórios,5,19.9,0.05,Dinheiro
280,2025-01-14,Bairro,Eduardo,Tênis,Calçados,5,249.9,0.0,Cartão
281,2025-09-03,Shopping,Eduardo,Calça,Roupas,2,129.9,0.0,Dinheiro
282,2025-08-01,Shopping,Bruno,Boné,Acessórios,5,49.9,0.0,Cartão
283,2025-06-13,Centro,Carla,Boné,Acessórios,3,49.9,0.2,Dinheiro
284,2025-07-02,Centro,Bruno,Boné,Acessórios,2,49.9,0.1,Cartão
285,2025-02-11,Centro,Bruno,Tênis,Calçados,1,249.9,0.0,Pix
286,2025-05-10,centro ,Eduardo,Camiseta,Roupas,2,59.9,0.15,Cartão
287,2025-10-11,Bairro,Bruno,Meia,Acessórios,1,19.9,0.1,Dinheiro
288,2025-12-10,Centro,Carla,Camiseta,Roupas,4,59.9,0.0,Pix
289,2025-07-19,Centro,Carla,Boné,Acessórios,3,49.9,0.0,Dinheiro
290,2025-10-04,centro ,Bruno,Camiseta,Roupas,4,59.9,0.2,Dinheiro
291,2025-01-28,Bairro,Carla,Meia,Acessórios,5,19.9,0.1,Cartão
292,2025-08-08,Centro,Ana,,Roupas,2,129.9,0.0,Dinheiro
293,2025-11-20,Shopping,Ana,Camiseta,Roupas,2,59.9,0.0,Dinheiro
294,2025-06-13,centro ,Carla,,Roupas,5,129.9,0.0,Pix
295,2025-01-10,Bairro,Ana,Meia,Acessórios,1,19.9,0.0,Pix
296,2025-04-24,Shopping,Diego,Tênis,Calçados,5,249.9,0.05,Dinheiro
297,2025-05-02,centro ,Ana,Camiseta,Roupas,2,59.9,0.05,Pix
298,2025-05-06,centro ,Diego,Boné,Acessórios,3,49.9,0.0,Pix
299,2025-09-15,Centro,Eduardo,Meia,Acessórios,3,19.9,0.0,Cartão
300,2025-02-13,Centro,Carla,Tênis,Calçados,1,249.9,0.0,Dinheiro
301,2025-01-30,Bairro,Diego,Tênis,Calçados,5,249.9,0.0,Dinheiro
302,2025-03-13,Centro,Diego,Calça,Roupas,1,129.9,0.05,Dinheiro
303,2025-01-10,Centro,Carla,Calça,Roupas,1,129.9,0.05,Pix
304,2025-03-27,Shopping,Bruno,Camiseta,Roupas,4,59.9,0.05,Pix
305,2025-01-20,Bairro,Carla,Camiseta,Roupas,3,59.9,0.2,Pix
306,2025-05-12,centro ,Bruno,Calça,Roupas,3,129.9,0.0,Cartão
307,2025-11-06,centro ,Eduardo,Boné,Acessórios,4,49.9,0.05,Pix
308,2025-04-29,Bairro,Diego,Boné,Acessórios,3,49.9,0.0,Pix
309,2025-09-11,centro ,Bruno,Calça,Roupas,3,129.9,0.05,Dinheiro
310,2025-11-01,Bairro,Carla,Meia,Acessórios,5,19.9,0.1,Cartão
311,2025-12-22,centro ,Carla,Calça,Roupas,4,129.9,0.1,Cartão
312,2025-05-26,Bairro,Diego,Camiseta,Roupas,4,59.9,0.0,Dinheiro
313,2025-04-28,Centro,Ana,Tênis,Calçados,4,249.9,0.1,Dinheiro
314,2025-02-16,Shopping,Diego,Tênis,Calçados,1,249.9,0.05,Cartão
315,2025-03-02,Shopping,Bruno,Boné,Acessórios,3,49.9,0.0,Pix
316,2025-12-31,Bairro,Eduardo,Boné,Acessórios,3,49.9,0.05,Cartão
317,2025-12-15,centro ,Eduardo,Calça,Roupas,5,129.9,0.15,Cartão
318,2025-03-31,centro ,Bruno,Boné,Acessórios,1,49.9,0.1,Cartão
319,2025-11-12,centro ,Diego,Camiseta,Roupas,4,59.9,0.0,Pix
320,2025-12-30,Shopping,Diego,Meia,Acessórios,4,19.9,0.0,Cartão
